"year";"date";"district";"ndvi_class";"ndvi_mean";"ndbi_mean";"lst_mean";"ndvi_stddev";"ndbi_stddev";"lst_stddev"
2021;2021-01-01;"Morro Saboo";"dense-vegetation";0.794152854656502;-0.260475568607958;NA;0.225894714187445;0.169462616689266;NA
2021;2021-01-01;"Alemoa";"light-vegetation";0.378154002321111;-0.0641653309006401;NA;0.3379282888618;0.220022192396625;NA
2021;2021-01-01;"Porto Alemoa";"light-vegetation";0.466406685019943;-0.142652757066689;NA;0.376701709574777;0.213918944020472;NA
2021;2021-01-01;"Outeirinhos";"bare-soil";0.11934097154609;0.214352279545873;NA;0.133439868151157;0.149280354801984;NA
2021;2021-01-01;"Porto Valongo";"bare-soil";0.186252106452998;0.0734796513315684;NA;0.201860942920587;0.109011573250974;NA
2021;2021-01-01;"Piratininga";"light-vegetation";0.362545536475395;-0.0227434030543999;NA;0.279213295597325;0.191011172376559;NA
2021;2021-01-01;"Gonzaga";"bare-soil";0.196745632389282;0.128309292731741;NA;0.152016675190007;0.120321722554756;NA
2021;2021-01-01;"Saboo";"bare-soil";0.283776524236114;0.0974532505802508;NA;0.249245922836783;0.169270972493275;NA
2021;2021-01-01;"Morro Marape";"dense-vegetation";0.835859027791769;-0.293267508838249;NA;0.166507987033564;0.132905731501735;NA
2021;2021-01-01;"Valongo";"bare-soil";0.211091408042062;0.124268981300334;NA;0.185970634639331;0.113098328306503;NA
2021;2021-01-01;"Marape";"bare-soil";0.234431680980192;0.138414200648671;NA;0.187567804224978;0.137508960355735;NA
2021;2021-01-01;"Morro Pacheco";"light-vegetation";0.529813495386394;-0.0458002296114311;NA;0.263062941125635;0.190684029598216;NA
2021;2021-01-01;"Vila Nova";"bare-soil";0.17453469738131;0.214264338719573;NA;0.102198882939531;0.0937444643729688;NA
2021;2021-01-01;"Ponta da Praia";"bare-soil";0.230277330544279;0.100166110831717;NA;0.16763013114092;0.121811709885994;NA
2021;2021-01-01;"Aparecida";"bare-soil";0.225645415116721;0.122768790571156;NA;0.163515269987133;0.129517109437272;NA
2021;2021-01-01;"Areia Branca";"bare-soil";0.190350904483234;0.161773414645618;NA;0.132473737654014;0.101338342893396;NA
2021;2021-01-01;"Ilheu Alto";"dense-vegetation";0.709953018524731;-0.201784009932844;NA;0.246913009383973;0.16245812107335;NA
2021;2021-01-01;"Vila Belmiro";"bare-soil";0.2313443176687;0.146379911372297;NA;0.151269142581454;0.10674080465501;NA
