"district";"d_ndvi_mean";"d_ndbi_mean";"d_lst_mean";"d_ndvi_median";"d_ndbi_median";"d_lst_median";"d_ndvi_std";"d_ndbi_std";"d_lst_std"
"Alemoa";0.317175333771276;-0.0673893998918585;23.6002213599658;0.339622530092126;-0.0643977757567131;26.4770119895348;0.0659077695565898;0.0192600852655792;16.5403864528136
"Aparecida";0.224212616749346;0.0902207120467707;25.1021954558597;0.237833253412059;0.0983729958506134;29.2698705373565;0.0537471963979243;0.0407002280098598;16.4132724823254
"Areia Branca";0.195865034964619;0.130671343587754;26.7205276656644;0.198003516087508;0.137582244227954;31.3943033689276;0.0298942648739936;0.0270894069706219;17.9346651251682
"Bom Retiro";0.261101744563241;0.0962526450387136;25.6999353785277;0.272071762662224;0.103992688368481;29.4131594576438;0.0406303088340959;0.0277924383192953;17.4090827467322
"Boqueirão";0.203119957102951;0.107109307731974;24.9032658592198;0.211292802394411;0.114963541937565;29.1562807651727;0.0439278190266881;0.041850669314395;16.7352639854753
"Campo Grande";0.183104581087722;0.134270321986669;25.6068695503561;0.191415826508741;0.143229999902911;29.8040710216501;0.0393665547432203;0.0404272372556498;16.7923740261107
"Caneleira";0.355755794738459;-0.00181568808929264;24.5914185951933;0.370653215089769;-0.00298547801308881;28.598162966052;0.0651543402277294;0.025958762231792;16.3972200488585
"Castelo";0.198771543260298;0.152609066625306;26.8598625466412;0.207145529399246;0.164438891659128;31.5513912038175;0.0352951727855005;0.0426724840602158;18.4244817890283
"Centro";0.192307329890131;0.119948009162432;25.7994780588342;0.198018361571665;0.133836193873324;30.8595406117654;0.0402501723093422;0.044707415287131;17.5490213122937
"Chico de Paula";0.176922731512629;0.0259113220137392;25.3827833917102;0.183115338581199;0.0306219383368066;28.9312068549358;0.0316141802235318;0.0264707993590891;17.0250843375021
"Chinês";0.193269554605277;0.0759132474744344;26.0000626932587;0.198785845882971;0.080276177095028;31.1680544669264;0.0357043510710705;0.036386775632791;17.3729210588671
"Embaré";0.204624762298168;0.124708867146327;25.2769942540118;0.211946837899953;0.132019677389495;28.9555296373023;0.0404792277655489;0.0380076779246365;16.2222470200113
"Encruzilhada";0.197059878339249;0.118653362429444;25.8104773361943;0.2114638266521;0.1334860380014;29.7422435175795;0.0519049473214593;0.0539920496777728;17.1825375529478
"Estuário";0.215289924185887;0.102719875666931;26.5645256475945;0.223353756364964;0.114961550499313;31.0715303511533;0.0525042822793922;0.0461070838164006;17.6688860003513
"Gonzaga";0.186096302794026;0.097709598178758;24.7472688072654;0.197373244410824;0.109242117030823;28.5063054121677;0.050805974378729;0.0441583458649909;16.3513969252209
"Ilhéu Alto";0.615271178630317;-0.183892283077921;22.3350216005025;0.665020432496831;-0.186739059575093;27.6199312938433;0.118823895895826;0.0398679197696647;16.0982992727913
"Jabaquara";0.296267657585747;0.0267231416190731;25.5604450653148;0.31207998282511;0.0256656960222025;30.1672258507991;0.058904070589358;0.0280193934434966;16.8997739228154
"José Menino";0.258162478936145;0.0243742493980891;24.3607753483912;0.274772111076766;0.0261775361021289;28.3371896588405;0.0573522354576542;0.0266294485818847;16.3993168959285
"Macuco";0.187659881201555;0.137039857571755;26.9114189203548;0.197533202324052;0.15085160875084;30.688511017741;0.0419407930117872;0.0531657566714761;17.5878433048268
"Marapé";0.235868294447241;0.105359297119004;25.6317239266434;0.249219287087377;0.115427041928257;29.9866560547335;0.0463330101952857;0.0375426483088646;16.4688919028743
"Monte Serrat";0.621107772695275;-0.18131753946706;23.0453736702212;0.669164246126282;-0.183480542304682;28.3226209712859;0.147989633789351;0.0485874280038396;15.852476995212
"Morro Cachoeira";0.741449156476451;-0.315919503542624;20.0625445801878;0.804800576705589;-0.328878383976735;24.6599394274474;0.156583089798408;0.0613684351905237;14.8008359582908
"Morro Caneleira";0.559303791179616;-0.148228280185595;21.5590598662092;0.603111314228002;-0.152391024725304;26.4422903446425;0.111876452411032;0.0315370317219315;15.3703836264205
"Morro Chico de Paula";0.767257964054163;-0.295779192984154;20.8752924664421;0.838048682529536;-0.316066231061317;24.6437603100166;0.175721952809322;0.0704524946963772;14.8276879990309
"Morro Embaré";0.783647165557564;-0.32055212706114;19.4881216458638;0.84615598133531;-0.340004895157907;24.5826051975609;0.137169163565873;0.0657558188289648;14.8078450625876
"Morro Fontana";0.471898656650495;-0.0830098689259448;23.451359290626;0.512269868633658;-0.0828774599389801;28.6085277016643;0.101570951923138;0.0294125558265142;16.6356553449061
"Morro Jabaquara";0.640047883398294;-0.212082475915151;21.4142675185369;0.709862682027745;-0.224528797437774;26.6834467356734;0.152282713470082;0.0572821418335857;15.7168409790373
"Morro José Menino";0.57858143098197;-0.148002310864508;21.2254342777613;0.62468581693622;-0.157605378521471;25.5574480441643;0.116698309968808;0.0362893388300325;15.7997593641446
